[09-07 16:26:49] gate driver started (pid 9464)
[09-07 16:26:49] gate driver started (pid 9463)
[09-07 16:27:00] gate driver started (pid 9469)
[09-07 16:27:00] gate driver started (pid 9470)
[09-07 16:27:10] gate driver started (pid 9476)
[09-07 16:27:10] gate driver started (pid 9475)
[09-07 16:27:21] gate driver started (pid 9481)
[09-07 16:27:21] gate driver started (pid 9482)
[09-07 16:27:32] gate driver started (pid 9490)
[09-07 16:27:32] gate driver started (pid 9489)
[09-07 16:27:42] gate driver started (pid 9495)
[09-07 16:27:42] gate driver started (pid 9496)
[09-07 16:27:53] gate driver started (pid 9502)
[09-07 16:27:53] gate driver started (pid 9501)
[09-07 16:28:03] gate driver started (pid 9507)
[09-07 16:28:03] gate driver started (pid 9508)
[09-07 16:28:14] gate driver started (pid 9516)
[09-07 16:28:14] gate driver started (pid 9515)
[09-07 16:28:25] gate driver started (pid 9522)
[09-07 16:28:25] gate driver started (pid 9521)
[09-07 16:28:35] gate driver started (pid 9528)
[09-07 16:28:35] gate driver started (pid 9527)
[09-07 16:28:46] gate driver started (pid 9534)
[09-07 16:28:46] gate driver started (pid 9533)
[09-07 16:28:57] gate driver started (pid 9543)
[09-07 16:28:57] gate driver started (pid 9544)
[09-07 16:29:07] gate driver started (pid 9558)
[09-07 16:29:07] gate driver started (pid 9559)
[09-07 16:29:18] gate driver started (pid 9570)
[09-07 16:29:18] gate driver started (pid 9571)
[09-07 16:29:29] gate driver started (pid 9585)
[09-07 16:29:29] gate driver started (pid 9584)
[09-07 16:29:39] gate driver started (pid 9591)
[09-07 16:29:39] gate driver started (pid 9590)
[09-07 16:29:50] gate driver started (pid 9597)
[09-07 16:29:50] gate driver started (pid 9596)
[09-07 16:30:01] gate driver started (pid 9603)
[09-07 16:30:01] gate driver started (pid 9604)
[09-07 16:30:12] gate driver started (pid 9615)
[09-07 16:30:12] gate driver started (pid 9616)
[09-07 16:30:23] gate driver started (pid 9624)
[09-07 16:30:23] gate driver started (pid 9623)
[09-07 16:30:34] gate driver started (pid 9629)
[09-07 16:30:34] gate driver started (pid 9630)
[09-07 16:30:45] gate driver started (pid 9635)
[09-07 16:30:45] gate driver started (pid 9636)
[09-07 16:30:56] gate driver started (pid 9644)
[09-07 16:30:56] gate driver started (pid 9643)
[09-07 16:31:07] gate driver started (pid 9650)
[09-07 16:31:07] gate driver started (pid 9649)
[09-07 16:31:19] gate driver started (pid 9655)
[09-07 16:31:19] gate driver started (pid 9656)
[09-07 16:31:30] gate driver started (pid 9668)
[09-07 16:31:30] gate driver started (pid 9669)
[09-07 16:31:41] gate driver started (pid 9675)
[09-07 16:31:41] gate driver started (pid 9676)
[09-07 16:31:51] gate driver started (pid 9681)
[09-07 16:31:51] gate driver started (pid 9682)
[09-07 16:32:02] gate driver started (pid 9688)
[09-07 16:32:02] gate driver started (pid 9687)
[09-07 16:32:13] gate driver started (pid 9700)
[09-07 16:32:13] gate driver started (pid 9701)
[09-07 16:32:23] gate driver started (pid 9710)
